,Strategy,Application,Module,Device,Instances,Delay,Network,EnergyConsumption,DeviceMaxCPU,DeviceCPUUsage,ModuleMIPS,ModuleRAM,TupleCpuLength,SEED,UplinkBandwidth,DownlinkBandwidth,UplinkLatency,TupleNwLength,DeviceLevel,Simulation,Rate,ModuleCpuLoad
923,ELSA,DCNS,object_detector,cloud,6,257.82,81253.05,33892.99,44800.0,8851.53,550,10,2058.5,1145661099,100.0,10000.0,0.0,2000.0,0,8,0.5,1029.25
3069,CB-E,Translation_Service,processingModule,d-0,3,649.09,2348.5,3576.01,4000.0,1301.51,2500,10,3644.23,1410143363,10000.0,10000.0,50.0,500.0,1,7,0.1,364.423
2532,CB-E,VRGame,connector,d-1-0,3,0.0,736.0,3729.22,2000.0,679.3,100,10,1029.25,1145661099,10000.0,10000.0,25.0,1000.0,1,3,0.01,10.2925
558,ELSA,Translation_Service,processingModule,d-0,4,77.98,11638.0,5259.3,4000.0,1928.79,2500,10,3750.43,1954324947,10000.0,10000.0,50.0,500.0,1,4,0.1,375.043
119,ELSA,Translation_Service,processingModule,cloud,1,392.19,28601.25,2517.5,44800.0,322.27,2500,10,3222.71,794161987,100.0,10000.0,0.0,500.0,0,10,0.1,322.271
3297,CB-E,Translation_Service,storageModule,d-1-0,4,0.0,2470.0,10552.64,2000.0,1950.68,1000,10,1083.71,1329531353,10000.0,10000.0,25.0,1000.0,1,9,0.1,108.371
2674,CB-E,DCNS,object_detector,cloud,1,266.57,6285.35,5538.47,44800.0,1143.51,550,10,2178.11,633816299,100.0,10000.0,0.0,2000.0,0,4,0.5,1089.055
1795,Edgewards,DCNS,user_interface,cloud,8,0.0,441545.7,49740.7,44800.0,12941.58,200,10,534.78,428956419,100.0,10000.0,0.0,2000.0,0,8,0.025,13.3695
811,ELSA,Translation_Service,storageModule,d-0,6,0.0,18372.0,7957.66,4000.0,2934.34,1000,10,1086.79,1282538739,10000.0,10000.0,50.0,1000.0,1,6,0.1,108.679
2045,CB-E,VRGame,connector,d-0,1,0.0,6334.5,107.89,4000.0,9.11,100,10,911.37,1835732737,10000.0,10000.0,50.0,1000.0,1,10,0.01,9.1137
